"Province","Year","Statistic Label","UNIT","VALUE"
"Connacht","1996","Population of Non-Irish Speakers","Number","215809"
"Connacht","1996","Percentage of Irish Speakers","%","48.2"
"Connacht","2002","Population of Irish Speakers","Number","216128"
"Connacht","2002","Population of Non-Irish Speakers","Number","229844"
"Connacht","2002","Percentage of Irish Speakers","%","48.5"
"Connacht","2006","Population of Irish Speakers","Number","224953"
"Connacht","2006","Population of Non-Irish Speakers","Number","258407"
"Connacht","2006","Percentage of Irish Speakers","%","46.5"
"Connacht","2011","Population of Irish Speakers","Number","239493"
"Connacht","2011","Population of Non-Irish Speakers","Number","278966"
"Connacht","2011","Percentage of Irish Speakers","%","46.2"
"Connacht","2016","Population of Irish Speakers","Number","233807"
"Connacht","2016","Population of Non-Irish Speakers","Number","295485"
"Connacht","2016","Percentage of Irish Speakers","%","44.2"
"Ulster (pt)","1861","Population of Irish Speakers","Number","86370"
"Ulster (pt)","1861","Population of Non-Irish Speakers","Number","431413"
"Ulster (pt)","1861","Percentage of Irish Speakers","%","16.7"
"Ulster (pt)","1871","Population of Irish Speakers","Number","71595"
"Ulster (pt)","1871","Population of Non-Irish Speakers","Number","402443"
"Ulster (pt)","1871","Percentage of Irish Speakers","%","15.1"
"Ulster (pt)","1881","Population of Irish Speakers","Number","85372"
"Ulster (pt)","1881","Population of Non-Irish Speakers","Number","352887"
"Ulster (pt)","1881","Percentage of Irish Speakers","%","19.5"
"Ulster (pt)","1891","Population of Irish Speakers","Number","68294"
"Ulster (pt)","1891","Population of Non-Irish Speakers","Number","315464"
"Ulster (pt)","1891","Percentage of Irish Speakers","%","17.8"
"Ulster (pt)","1901","Population of Irish Speakers","Number","71426"
"Ulster (pt)","1901","Population of Non-Irish Speakers","Number","274448"
"Ulster (pt)","1901","Percentage of Irish Speakers","%","20.7"
"Ulster (pt)","1911","Population of Irish Speakers","Number","67711"
"Ulster (pt)","1911","Population of Non-Irish Speakers","Number","263454"
"Ulster (pt)","1911","Percentage of Irish Speakers","%","20.4"
"Ulster (pt)","1926","Population of Irish Speakers","Number","67841"
"Ulster (pt)","1926","Population of Non-Irish Speakers","Number","216082"
"Ulster (pt)","1926","Percentage of Irish Speakers","%","23.9"
"Ulster (pt)","1936","Population of Irish Speakers","Number","75336"
"Ulster (pt)","1936","Population of Non-Irish Speakers","Number","190538"
"Ulster (pt)","1936","Percentage of Irish Speakers","%","28.3"
"Ulster (pt)","1946","Population of Irish Speakers","Number","64388"
"Ulster (pt)","1946","Population of Non-Irish Speakers","Number","183143"
"Ulster (pt)","1946","Percentage of Irish Speakers","%","26"
"Ulster (pt)","1961","Population of Irish Speakers","Number","64342"
"Ulster (pt)","1961","Population of Non-Irish Speakers","Number","140810"
"Ulster (pt)","1961","Percentage of Irish Speakers","%","31.4"
"Ulster (pt)","1971","Population of Irish Speakers","Number","57550"
"Ulster (pt)","1971","Population of Non-Irish Speakers","Number","137591"
"Ulster (pt)","1971","Percentage of Irish Speakers","%","29.5"
"Ulster (pt)","1981","Population of Irish Speakers","Number","66350"
"Ulster (pt)","1981","Population of Non-Irish Speakers","Number","148972"
"Ulster (pt)","1981","Percentage of Irish Speakers","%","30.8"
"Ulster (pt)","1986","Population of Irish Speakers","Number","67045"
"Ulster (pt)","1986","Population of Non-Irish Speakers","Number","155670"
"Ulster (pt)","1986","Percentage of Irish Speakers","%","30.1"
"Ulster (pt)","1991","Population of Irish Speakers","Number","69334"
"Ulster (pt)","1991","Population of Non-Irish Speakers","Number","151909"
"Ulster (pt)","1991","Percentage of Irish Speakers","%","31.3"
"Ulster (pt)","1996","Population of Irish Speakers","Number","88178"
"Ulster (pt)","1996","Population of Non-Irish Speakers","Number","136322"
"Ulster (pt)","1996","Percentage of Irish Speakers","%","39.3"
"Ulster (pt)","2002","Population of Irish Speakers","Number","92862"
"Ulster (pt)","2002","Population of Non-Irish Speakers","Number","143107"
"Ulster (pt)","2002","Percentage of Irish Speakers","%","39.4"
"Ulster (pt)","2006","Population of Irish Speakers","Number","98277"
"Ulster (pt)","2006","Population of Non-Irish Speakers","Number","157090"
"Ulster (pt)","2006","Percentage of Irish Speakers","%","38.5"
"Ulster (pt)","2011","Population of Irish Speakers","Number","106546"
"Ulster (pt)","2011","Population of Non-Irish Speakers","Number","173879"
"Ulster (pt)","2011","Percentage of Irish Speakers","%","38"
"Ulster (pt)","2016","Population of Irish Speakers","Number","104013"
"Ulster (pt)","2016","Population of Non-Irish Speakers","Number","180501"
"Ulster (pt)","2016","Percentage of Irish Speakers","%","36.6"
